key,de,en,ru,tr,ar,fr,fa,nl,pl,it,uk,ka (georgisch),es,pt
LOGIN,Anmelden,Login,Вход,Giriş,تسجيل الدخول,Connexion,ورود,Inloggen,Zaloguj się,Accesso,Логін,Შესვლა,Acceso,Conecte-se
LOGIN.PEDIATRIC.CODE,Weiter mit Kinderarzt-Code,Continue with pediatric code,Продолжить с педиатрическим кодом,Pediyatrik kod ile devam edin,تابع مع رمز طب الأطفال,Continuer avec le code pédiatrique,ادامه با کد کودکانه,Ga verder met de pediatrische code,Kontynuuj z kodem pediatrycznym,Continua con il codice pediatrico,Продовжуйте дитячий код,გააგრძელეთ პედიატრიული კოდი,Continuar con código pediátrico,Continue com o código pediátrico
LOGIN.FAMILY.CODE,Weiter mit Familien-Code,Continue with family code,Продолжить семейный код,Aile koduyla devam edin,الاستمرار مع رمز العائلة,Continuer avec le code famille,ادامه با کد خانوادگی,Ga verder met de familiecode,Kontynuuj z kodem rodzinnym,Continua con il codice familiare,Продовжуйте сімейний код,გააგრძელეთ ოჯახის კოდი,Continuar con el código de familia,Continue com o código da família
LOGIN.EMAIL.CODE,Weiter mit E-Mail,Continue with e-mail,Продолжить с электронной почтой,E-posta ile devam edin,الاستمرار مع البريد الإلكتروني,Continuer avec l'e-mail,ادامه با ایمیل,Ga verder met e-mail,Kontynuuj z e-mailem,Continua con l'email,Продовжуйте електронну пошту,განაგრძეთ ელექტრონული ფოსტით,Continuar con el correo electrónico,Continue com e-mail
LANGUAGE.SELECT.TEXT,Ihre Sprache,Your language,Ваш язык,Sizin diliniz,لغتك,Votre langue,زبان شما,Uw taal,Twój język,La vostra lingua,Твоя мова,Შენი ენა,Tu lenguaje,Seu idioma
LANGUAGE.BOTTOMSHEET.CHOOSE,Wählen Sie Ihre Sprache,Choose your language,Выберите язык,Dilinizi seçin,اختر لغتك,Choisissez votre langue,زبان خود را انتخاب کنید,Kies je taal,Wybierz język,Scegliete la vostra lingua,Виберіть свою мову,აირჩიეთ თქვენი ენა,Elige tu idioma,Escolha o seu idioma
SPLASHSCREEN.WELCOME.TEXT,Willkommen bei FeverApp,Welcome to FeverApp,Добро пожаловать в FeverApp,FeverApp'a Hoş Geldiniz,مرحبًا بك في FeverApp,Bienvenue à FeverApp,خوش آمدید به FeverApp,Welkom bij FeverApp,Witamy w FeverApp,Benvenuti a FeverApp,Ласкаво просимо до лихоманки,კეთილი იყოს თქვენი მობრძანება Feverapp- ში,Bienvenido a FeverApp,Bem -vindo ao FeverApp
COUNTRY.SELECT.TEXT,Ihr Land,Your country,Ваша страна,Sizin ülkeniz,بلدك,Votre pays,کشور شما,Jouw land,Twój kraj,Il vostro paese,Твоя країна,Შენი ქვეყანა,Tu país,Seu país
COUNTRY.INPUT.NOTFOUND,Land nicht gefunden,Country not found,Страна не найдена,Ülke bulunamadı,البلد غير موجود,Pays non trouvé,کشور یافت نشد,Land niet gevonden,Nie znaleziono kraju,Paese non trovato,Країна не знайдена,ქვეყანა ვერ მოიძებნა,País no encontrado,País não encontrado
COUNTRY.BOTTOMSHEET.CHOOSE,Wählen Sie Ihr Land,Choose your country,Выберите страну,Ülkenizi seçin,اختر بلدك,Choisissez votre pays,کشور خود را انتخاب کنید,Kies je land,Wybierz swój kraj,Scegliete il vostro paese,Виберіть свою країну,აირჩიეთ თქვენი ქვეყანა,Elige tu país,Escolha seu país
COUNTRY.BOTTOMSHEET.INPUT,Land suchen,Search country,Страна поиска,Ülke ara,بلد البحث,Rechercher un pays,جستجو کشور,Land zoeken,Wyszukaj kraj,Ricerca per paese,Пошукова країна,მოძებნეთ ქვეყანა,Búsqueda del país,País de pesquisa
LOGIN.PEDIATRIC.CODE.TITLE,Anmeldung mit Kinderarzt-Code,Login with pediatric code,Вход с педиатрическим кодом,Pediatrik kod ile giriş yap,تسجيل الدخول برمز الأطفال,Se connecter avec un code pédiatrique,ورود با کد کودکانه,Inloggen met pediatrische code,Zaloguj się za pomocą kodu pediatrycznego,Accesso con codice pediatrico,Увійдіть з дитячим кодом,შედით პედიატრიული კოდით,Iniciar sesión con código pediátrico,Login com código pediátrico
LOGIN.PEDIATRIC.CODE.TEXT,"Kinderarzt-Code oder die Nummer, die Sie von Ihrem Arzt erhalten haben",Your pediatrician code or number you received from your doctor,"Код вашего педиатра или номер, который вы получили от врача",Çocuk doktoru kodunuz veya doktorunuzdan aldığınız numara,رمز طبيب الأطفال الخاص بك أو الرقم الذي تلقيته من طبيبك,Le code de votre pédiatre ou le numéro que vous avez reçu de votre médecin,"""کد یا شماره پزشک کودکان شما که از پزشک دریافت کرده‌اید""",De code van je kinderarts of het nummer dat je van je arts hebt gekregen,Kod pediatry lub numer otrzymany od lekarza,Il codice del vostro pediatra o il numero che avete ricevuto dal vostro medico,"Ваш педіатр або номер, який ви отримали від лікаря",თქვენი პედიატრის კოდი ან ექიმისგან მიღებული ნომერი,Su código o número de pediatra que recibió de su médico,Seu código de pediatra ou número que você recebeu do seu médico
LOGIN.PEDIATRIC.CODE.INVALID,Ungültiger Kinderarzt-Code,Invalid pediatrician code,Неверный код педиатра,Geçersiz çocuk doktoru kodu,رمز طبيب أطفال غير صالح,Code pédiatre non valide,کد پزشک کودکان معتبر نیست,Ongeldige code kinderarts,Nieprawidłowy kod pediatry,Codice pediatra non valido,Недійсний педіатрський код,არასწორი პედიატრის კოდი,Código de pediatra no válido,Código de pediatra inválido.
LOGIN.FAMILY.CODE.TITLE,Anmeldung mit Familien-Code,Login with family code,Вход с семейным кодом,Aile kodu ile giriş yapın,تسجيل الدخول برمز العائلة,Se connecter avec le code famille,ورود با کد خانواده,Inloggen met familiecode,Zaloguj się za pomocą kodu rodzinnego,Accesso con codice famiglia,Увійдіть із сімейним кодом,შედით ოჯახის კოდით,Iniciar sesión con código familiar,Faça login com o código da família
LOGIN.FAMILY.CODE.TEXT,"Bitte geben Sie den 8-stelligen Familien-Code ein, den Sie von Ihrem Arzt erhalten haben.",Please enter your 8 digits family code received from your doctor,"Введите 8 цифр семейного кода, полученного от врача.",Lütfen doktorunuzdan aldığınız 8 haneli aile kodunuzu giriniz,يُرجى إدخال رمز العائلة المكون من 8 أرقام الذي تم استلامه من طبيبك,Veuillez saisir le code familial à 8 chiffres que vous avez reçu de votre médecin.,لطفاً کد خانوادگی ۸ رقمی که از پزشک دریافت کرده‌اید را وارد کنید.,Voer uw 8-cijferige familiecode in die u van uw arts hebt ontvangen,Wprowadź 8-cyfrowy kod rodziny otrzymany od lekarza.,Inserire il codice famiglia di 8 cifre ricevuto dal medico,"Введіть свій сімейний код 8 цифр, отриманий від лікаря","გთხოვთ, შეიყვანოთ თქვენი ექიმისგან მიღებული თქვენი ოჯახის 8-ნიშნა კოდი",Ingrese su código de familia de 8 dígitos recibido de su médico,"Por favor, digite o seu código familiar de 8 dígitos recebido do seu médico"
LOGIN.EMAIL.TITLE,Anmeldung mit E-Mail,Login with e-mail,Вход с помощью электронной почты,E-posta ile giriş yapın,تسجيل الدخول بالبريد الإلكتروني,Se connecter avec l'e-mail,ورود با ایمیل,Inloggen met e-mail,Logowanie przy użyciu adresu e-mail,Accesso con l'e-mail,Увійти за допомогою електронної пошти,შედით ელექტრონული ფოსტით,Iniciar sesión con correo electrónico,Faça login com e-mail
LOGIN.EMAIL.TEXT1,E-Mail Adresse,E-mail address,Адрес электронной почты,E-posta adresi,عنوان البريد الإلكتروني,Adresse électronique,آدرس ایمیل,E-mailadres,Adres e-mail,Indirizzo e-mail,Адреса електронної пошти,Ელექტრონული მისამართი,Dirección de correo electrónico,Endereço de email
LOGIN.EMAIL.TEXT1.PLACEHOLDER,E-Mail Adresse eingeben,Enter e-mail address,Введите адрес электронной почты,E-posta adresini girin,أدخل عنوان البريد الإلكتروني,Saisir l'adresse électronique,آدرس ایمیل را وارد کنید,E-mailadres invoeren,Wprowadź adres e-mail,Inserire l'indirizzo e-mail,Введіть адресу електронної пошти,Შეიყვანე ელ. ფოსტის მისამართი,Introducir la dirección de correo electrónico,Insira o endereço de e-mail
LOGIN.EMAIL.TEXT2,Passwort,Password,Пароль,Şifre,كلمة المرور,Mot de passe,رمز عبور,Wachtwoord,Hasło,Password,Пароль,პაროლი,Contraseña,Senha
LOGIN.EMAIL.TEXT2.PLACEHOLDER,Passwort eingeben,Enter password,Введите пароль,Şifre girin,أدخل كلمة المرور,Saisir le mot de passe,رمز عبور را وارد کنید,Wachtwoord invoeren,Wprowadź hasło,Inserire la password,Введіть пароль,შეიყვანეთ პაროლი,Introducir la contraseña,Digite a senha
ADD.PROFILE.NAME.PLACEHOLDER,Name eingeben,Enter name,Введите имя,İsim girin,أدخل الاسم,Saisir le nom,نام را وارد کنید,Naam invoeren,Wprowadź nazwę,Inserire il nome,Введіть назву,შეიყვანეთ სახელი,Ingrese su nombre,Insira o nome
ADD.PROFILE.DOB.PLACEHOLDER,Eingabe des Geburtsdatums,Enter date of birth,Введите дату рождения,Doğum tarihini girin,أدخل تاريخ الميلاد,Saisir la date de naissance,تاریخ تولد را وارد کنید,Geboortedatum invoeren,Wprowadź datę urodzenia,Inserire la data di nascita,Введіть дату народження,შეიტანეთ დაბადების თარიღი,Ingrese fecha de nacimiento,Digite a data de nascimento
ADD.PROFILE.PEDIATRICIAN.TITLE,Finden Sie Ihren Kinderarzt,Find your pediatrician,Найдите своего педиатра,Çocuk doktorunuzu bulun,ابحث عن طبيب الأطفال,Trouvez votre pédiatre,پزشک کودکان خود را پیدا کنید,Vind uw kinderarts,Znajdź swojego pediatrę,Trova il tuo pediatra,Знайдіть свого педіатра,იპოვნე შენი პედიატრი,Encuentra a tu pediatra,Encontre seu pediatra
ADD.PROFILE.PEDIATRICIAN.INPUT,Suche Kinderarzt,Search pediatrician,Поиск педиатра,Çocuk doktoru ara,ابحث عن طبيب أطفال,Rechercher un pédiatre,یک پزشک کودکان را جستجو کنید,Kinderarts zoeken,Szukaj pediatry,Ricerca pediatra,Пошук педіатра,მოძებნეთ პედიატრი,Buscar pediatra,PEDIATRICE DE PESQUISA
ADD.PROFILE.PEDIATRICIAN.BUTTON,Kinderarzt hinzufügen,Add pediatrician,Добавить педиатра,Çocuk doktoru ekleyin,إضافة طبيب أطفال,Ajouter un pédiatre,یک پزشک کودکان اضافه کنید,Kinderarts toevoegen,Dodaj pediatrę,Aggiungi un pediatra,Додати педіатра,დაამატეთ პედიატრი,Agregar pediatra,Adicione pediatra
ADD.PEDIATRICIAN.TITLE,Ihren Kinderarzt hinzufügen,Add your pediatrician,Добавьте своего педиатра,Çocuk doktorunuzu ekleyin,أضف طبيب الأطفال,Ajoutez votre pédiatre,پزشک کودکان خود را اضافه کنید,Uw kinderarts toevoegen,Dodaj swojego pediatrę,Aggiungi il tuo pediatra,Додайте свого педіатра,დაამატეთ თქვენი პედიატრი,Agregue su pediatra,Adicione seu pediatra
ADD.PEDIATRICIAN.TEXT1.PLACEHOLDER,Vornamen eingeben,Enter first name,Введите имя и фамилию,İlk adı girin,أدخل الاسم الأول,Saisir le prénom,نام را وارد کنید,Voer voornaam in,Wprowadź imię,Inserire il nome,Введіть ім'я,შეიყვანეთ სახელი,Ingrese el nombre,Introduza o primeiro nome
ADD.PEDIATRICIAN.TEXT2.PLACEHOLDER,Nachname eingeben,Enter last name,Введите фамилию,Soyadı girin,أدخل اسم العائلة,Saisir le nom de famille,نام خانوادگی را وارد کنید,Achternaam invoeren,Wprowadź nazwisko,Inserire il cognome,Введіть прізвище,შეიყვანეთ გვარი,Introduzca el apellido,Insira o último nome
ADD.PEDIATRICIAN.TEXT3.PLACEHOLDER,E-Mail Adresse eingeben,Enter e-mail address,Введите адрес электронной почты,E-posta adresini girin,أدخل عنوان البريد الإلكتروني,Saisir l'adresse électronique,آدرس ایمیل را وارد کنید,E-mailadres invoeren,Wprowadź adres e-mail,Inserire l'indirizzo e-mail,Введіть адресу електронної пошти,Შეიყვანე ელ. ფოსტის მისამართი,Introducir la dirección de correo electrónico,Insira o endereço de e-mail
ADD.PEDIATRICIAN.TEXT4.PLACEHOLDER,Geben Sie Ihre Stadt ein,Enter your city,Введите ваш город,Şehrinizi girin,أدخل مدينتك,Entrez votre ville,شهر خود را وارد کنید,Voer uw stad in,Wpisz swoje miasto,Inserisci la tua città,Введіть своє місто,შედით თქვენს ქალაქში,Entra en tu ciudad,Entre na sua cidade
ADD.PEDIATRICIAN.TEXT5.PLACEHOLDER,Straße und Hausnummer eingeben,Enter street and house number,Введите улицу и номер дома,Sokak ve ev numarasını girin,أدخل رقم الشارع ورقم المنزل,Saisir la rue et le numéro de la maison,خیابان و شماره خانه را وارد کنید,Voer straat en huisnummer in,Wprowadź ulicę i numer domu,Inserire via e numero civico,Введіть номер вулиці та дому,შეიყვანეთ ქუჩის და სახლის ნომერი,Ingrese a la calle y al número de la casa,Entre no número da rua e da casa
ADD.PEDIATRICIAN.TEXT6.PLACEHOLDER,Telefonnummer eingeben,Enter phone number,Введите номер телефона,Telefon numarasını girin,أدخل رقم الهاتف,Saisir le numéro de téléphone,شماره تلفن را وارد کنید,Telefoonnummer invoeren,Wprowadź numer telefonu,Inserire il numero di telefono,Введіть номер телефону,შეიყვანეთ ტელეფონის ნომერი,Ingresa número telefónico,Insira o número de telefone
ADD.PROFILE.RANDOMIZED.TEXT1,"Wir untersuchen zwei Möglichkeiten, mit Fieberkrämpfen umzugehen. Eine Methode besteht darin, das Kind kühl zu halten und das Fieber zu unterdrücken, während die andere Methode darin besteht, das Kind warm zu halten, um das Fieber zu unterstützen.","We are investigating two ways of dealing with fever seizures. One method involves keeping the child cool and suppressing the fever, while the alternative approach entails keeping the child warm to support the fever.","Мы исследуем два способа борьбы с лихорадочными судорогами. Один метод включает в себя сохранение прохлады ребенка и подавление лихорадки, в то время как альтернативный подход предполагает сохранение тепла ребенка для поддержки лихорадки.","Ateş nöbetleriyle başa çıkmanın iki yolu üzerinde araştırma yapıyoruz. Bir yöntem çocuğu serin tutmayı ve ateşi bastırmayı içerirken, alternatif yaklaşım ateşi desteklemek için çocuğu sıcak tutmayı içerir.",نحن نبحث في طريقتين للتعامل مع نوبات الحمى. يتضمن أحد الطرق الاحتفاظ بالطفل باردًا وإخماد الحمى، بينما ينطوي النهج البديل على الاحتفاظ بالطفل دافئًا لدعم الحمى.,"Nous étudions deux façons de traiter les convulsions fébriles. Une méthode consiste à maintenir l'enfant au frais et à supprimer la fièvre, tandis que l'approche alternative implique de maintenir l'enfant au chaud pour soutenir la fièvre.",ما دو روش برای مقابله با تشنج‌های تب را مورد بررسی قرار می‌دهیم. یک روش شامل نگه داشتن کودک خنک و کاهش تب است، در حالی که رویکرد جایگزین شامل نگه داشتن کودک گرم برای حمایت از تب است.,"We onderzoeken twee manieren om koortsstuipen te behandelen. Eén methode houdt in dat het kind koel wordt gehouden en de koorts wordt onderdrukt, terwijl de alternatieve aanpak inhoudt dat het kind warm wordt gehouden om de koorts te ondersteunen.","Badamy dwie metody radzenia sobie z napadami gorączki. Jedna metoda polega na utrzymaniu dziecka w chłodzie i tłumieniu gorączki, podczas gdy alternatywne podejście polega na utrzymywaniu dziecka w cieple, aby wspierać gorączkę.","Stiamo investigando due modi per affrontare le convulsioni febbrili. Un metodo implica il mantenimento del bambino al fresco e la soppressione della febbre, mentre l'approccio alternativo comporta il mantenimento del bambino al caldo per sostenere la febbre.","Ми досліджуємо два способи боротьби з захворюваннями лихоманки.Один із методів передбачає збереження дитини прохолодною та придушенням лихоманки, тоді як альтернативний підхід тягне за собою збереження дитини теплою для підтримки лихоманки.","ჩვენ ვიძიებთ ცხელების კრუნჩხვებთან გამკლავების ორ გზას.ერთი მეთოდი გულისხმობს ბავშვის გაცივებას და ცხელების ჩახშობას, ხოლო ალტერნატიული მიდგომა გულისხმობს ბავშვის თბილობას ცხელების მხარდასაჭერად.","Estamos investigando dos formas de lidiar con las convulsiones de la fiebre.Un método implica mantener al niño fresco y suprimir la fiebre, mientras que el enfoque alternativo implica mantener al niño caliente para apoyar la fiebre.","Estamos investigando duas maneiras de lidar com crises de febre.Um método envolve manter a criança esfriar e suprimir a febre, enquanto a abordagem alternativa implica manter a criança aquecida para apoiar a febre."
ADD.PROFILE.RANDOMIZED.TEXT2,Möchten Sie an dieser Studie teilnehmen?,Are you wllling to take part in this study?,Хотите ли вы принять участие в этом исследовании?,Bu çalışmaya katılmak ister misiniz?,هل ترغب في المشاركة في هذه الدراسة؟,Souhaitez-vous participer à cette étude ?,آیا مایل به شرکت در این مطالعه هستید؟,Wil je deelnemen aan dit onderzoek?,Czy chcesz wziąć udział w tym badaniu?,Desidera partecipare a questo studio?,Чи бажаєте ви взяти участь у цьому дослідженні?,ამ კვლევაში მონაწილეობის მისაღებად ხართ?,¿Estás parecido a participar en este estudio?,Você está participando de participar deste estudo?
ADD.PROFILE.SUPPRESSION.METHOD,Welche Strategie möchten Sie verfolgen?,Which strategy would you like to follow?,Какой стратегии вы хотели бы придерживаться?,Hangi stratejiyi takip etmek istersiniz?,ما الاستراتيجية التي ترغب في اتباعها؟,Quelle stratégie souhaitez-vous suivre ?,از کدام استراتژی می‌خواهید پیروی کنید؟,Welke strategie wil je volgen?,Którą strategię chciałbyś zastosować?,Quale strategia vorreste seguire?,Яку стратегію ви хотіли б дотримуватися?,რომელი სტრატეგიის დაცვა გსურთ?,¿Qué estrategia te gustaría seguir?,Qual estratégia você gostaria de seguir?
ADD.PROFILE.SUPPRESSION.METHOD1,Abkühlen,Cooling,Охлаждение,Soğutma,التبريد,Refroidissement,سرد کردن,Koeling,Chłodzenie,Raffreddamento,Охолодження,გამაგრილებელი,Enfriamiento,Resfriamento
ADD.PROFILE.SUPPRESSION.METHOD2,Warm halten,Warming,Согревающий,Isınma,الاحترار,Réchauffement,گرم کردن,Verwarmend,Ocieplenie,Riscaldamento,Зігрівання,Დათბობა,Calentamiento,Aquecimento
