key,de,en,ru,tr,ar,fr,fa,nl,pl,it,uk,ka (georgisch),es,pt
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.54.LABEL,Td-Impfstoff Merieux,Td-Impfstoff Merieux,Td-Impfstoff Merieux,Td-Impfstoff Merieux,Td-Impfstoff Merieux,Td-Impfstoff Merieux,Td-Impfstoff Merieux,Td-Impfstoff Merieux,Td-Impfstoff Merieux,Td-Impfstoff Merieux,Td-Impfstoff Merieux,Td-Impfstoff Merieux,Td-Impfstoff Merieux,Td-Impfstoff Merieux
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.55.LABEL,Td-pur,Td-pur,Td-pur,Td-pur,Td-pur,Td-pur,Td-pur,Td-pur,Td-pur,Td-pur,Td-pur,Td-pur,Td-pur,Td-pur
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.56.LABEL,Td-Rix,Td-Rix,Td-Rix,Td-Rix,Td-Rix,Td-Rix,Td-Rix,Td-Rix,Td-Rix,Td-Rix,Td-Rix,Td-Rix,Td-Rix,Td-Rix
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.57.LABEL,Tetagam P,Tetagam P,Tetagam P,Tetagam P,Tetagam P,Tetagam P,Tetagam P,Tetagam P,Tetagam P,Tetagam P,Tetagam P,Tetagam P,Tetagam P,Tetagam P
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.58.LABEL,Tetanol pur,Tetanol pur,Tetanol pur,Tetanol pur,Tetanol pur,Tetanol pur,Tetanol pur,Tetanol pur,Tetanol pur,Tetanol pur,Tetanol pur,Tetanol pur,Tetanol pur,Tetanol pur
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.59.LABEL,Tetanus Mérieux,Tetanus Mérieux,Tetanus Mérieux,Tetanus Mérieux,Tetanus Mérieux,Tetanus Mérieux,Tetanus Mérieux,Tetanus Mérieux,Tetanus Mérieux,Tetanus Mérieux,Tetanus Mérieux,Tetanus Mérieux,Tetanus Mérieux,Tetanus Mérieux
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.60.LABEL,Tetravac,Tetravac,Tetravac,Tetravac,Tetravac,Tetravac,Tetravac,Tetravac,Tetravac,Tetravac,Tetravac,Tetravac,Tetravac,Tetravac
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.61.LABEL,Tollwut-Impfstoff (HDC),Rabies vaccine (HDC),Tollwut-Impfstoff (HDC),Kuduz Aşısı (HDC),Tollwut-Impfstoff (HDC),Vaccin antirabique (HDC),Rabies vaccine (HDC),Tollwut-Impfstoff (HDC),Tollwut-Impfstoff (HDC),vaccino per la Rabbia (HDC),Tollwut-Impfstoff (HDC),Tollwut-Impfstoff (HDC),Tollwut-Impfstoff (HDC),Tollwut-Impfstoff (HDC)
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.62.LABEL,Tritanrix-Hep B,Tritanrix-Hep B,Tritanrix-Hep B,Tritanrix-Hep B,Tritanrix-Hep B,Tritanrix-Hep B,Tritanrix-Hep B,Tritanrix-Hep B,Tritanrix-Hep B,Tritanrix-Hep B,Tritanrix-Hep B,Tritanrix-Hep B,Tritanrix-Hep B,Tritanrix-Hep B
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.63.LABEL,Trumenba,Trumenba,Trumenba,Trumenba,Trumenba,Trumenba,Trumenba,Trumenba,Trumenba,Trumenba,Trumenba,Trumenba,Trumenba,Trumenba
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.64.LABEL,Twinrix Erwachsene,Twinrix adults,Twinrix Erwachsene,Twinrix Yetişkin,Twinrix راشدون,Twinrix adultes,Twinrix Erwachsene,Twinrix volwassenen,Twinrix Erwachsene,Twinrix adulti,Twinrix Erwachsene,Twinrix Erwachsene,Twinrix Erwachsene,Twinrix Erwachsene
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.65.LABEL,Twinrix Kinder,Twinrix children,Twinrix Kinder,Twinrix Çocuk,Twinrix أطفال,Twinrix enfants,Twinrix Kinder,Twinrix Kinderen,Twinrix Kinder,Twinrix bambini,Twinrix Kinder,Twinrix Kinder,Twinrix Kinder,Twinrix Kinder
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.66.LABEL,Typhim Vi,Typhim Vi,Typhim Vi,Typhim Vi,Typhim Vi,Typhim Vi,Typhim Vi,Typhim Vi,Typhim Vi,Typhim Vi,Typhim Vi,Typhim Vi,Typhim Vi,Typhim Vi
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.67.LABEL,Typhoral,Typhoral,Typhoral,Typhoral,Typhoral,Typhoral,Typhoral,Typhoral,Typhoral,Typhoral,Typhoral,Typhoral,Typhoral,Typhoral
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.68.LABEL,VAQTA,VAQTA,VAQTA,VAQTA,VAQTA,VAQTA,VAQTA,VAQTA,VAQTA,VAQTA,VAQTA,VAQTA,VAQTA,VAQTA
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.69.LABEL,VAQTA Kinder,VAQTA Children,VAQTA Kinder,VAQTA Çocuk,VAQTA أطفال,VAQTA enfants,VAQTA Kinder,VAQTA Kinderen,VAQTA Kinder,VAQTA bambini,VAQTA Kinder,VAQTA Kinder,VAQTA Kinder,VAQTA Kinder
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.70.LABEL,Varicellon,Varicellon,Varicellon,Varicellon,Varicellon,Varicellon,Varicellon,Varicellon,Varicellon,Varicellon,Varicellon,Varicellon,Varicellon,Varicellon
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.71.LABEL,Varilrix,Varilrix,Varilrix,Varilrix,Varilrix,Varilrix,Varilrix,Varilrix,Varilrix,Varilrix,Varilrix,Varilrix,Varilrix,Varilrix
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.72.LABEL,Varitect CP,Varitect CP,Varitect CP,Varitect CP,Varitect CP,Varitect CP,Varitect CP,Varitect CP,Varitect CP,Varitect CP,Varitect CP,Varitect CP,Varitect CP,Varitect CP
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.73.LABEL,VARIVAX,VARIVAX,VARIVAX,VARIVAX,VARIVAX,VARIVAX,VARIVAX,VARIVAX,VARIVAX,VARIVAX,VARIVAX,VARIVAX,VARIVAX,VARIVAX
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.74.LABEL,Vaxelis,Vaxelis,Vaxelis,Vaxelis,Vaxelis,Vaxelis,Vaxelis,Vaxelis,Vaxelis,Vaxelis,Vaxelis,Vaxelis,Vaxelis,Vaxelis
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.75.LABEL,VAXIGRIP TETRA,VAXIGRIP TETRA,VAXIGRIP TETRA,VAXIGRIP TETRA,VAXIGRIP TETRA,VAXIGRIP TETRA,VAXIGRIP TETRA,VAXIGRIP TETRA,VAXIGRIP TETRA,VAXIGRIP TETRA,VAXIGRIP TETRA,VAXIGRIP TETRA,VAXIGRIP TETRA,VAXIGRIP TETRA
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.90.LABEL,Vaxneuvance,Vaxneuvance,Vaxneuvance,Vaxneuvance,Vaxneuvance,Vaxneuvance,Vaxneuvance,Vaxneuvance,Vaxneuvance,Vaxneuvance,Vaxneuvance,Vaxneuvance,Vaxneuvance,Vaxneuvance
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.76.LABEL,Viatim,Viatim,Viatim,Viatim,Viatim,Viatim,Viatim,Viatim,Viatim,Viatim,Viatim,Viatim,Viatim,Viatim
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.77.LABEL,ViATIM,ViATIM,ViATIM,ViATIM,ViATIM,ViATIM,ViATIM,ViATIM,ViATIM,ViATIM,ViATIM,ViATIM,ViATIM,ViATIM
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.78.LABEL,ZOSTAVAX,ZOSTAVAX,ZOSTAVAX,ZOSTAVAX,ZOSTAVAX,ZOSTAVAX,ZOSTAVAX,ZOSTAVAX,ZOSTAVAX,ZOSTAVAX,ZOSTAVAX,ZOSTAVAX,ZOSTAVAX,ZOSTAVAX
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.79.LABEL,-- Sonstiger Impfstoff --,- Other vaccine-,- Прочая вакцина-,-- Diğer aşı --,-- لقاح آخر --,-- Autres vaccins --,-- واکسن های دیگر-,-- Ander vaccin...,-- inna szczepionka,- altro vaccino,- Otras vacunas,-Outra vacina,- Інша вакцина-,-- სხვა ვაქცინა
DIARY.SYMPTOMS.SYMPTOMS.OTHER_SYMPTOMS.LABEL,Welche anderen Symptome hat {{name}}?,Which other symptoms does {{name}} have?,Welche anderen Symptome hat {{name}}?,{{name}} başka hangi semptomları var?,ما الأعراض الأخرى التي يعاني منها {{name}}؟,Quels autres symptômes {{name}} présente-t-il ?,Welche anderen Symptome hat {{name}}?,Welke andere symptomen heeft {{name}}?,Welche anderen Symptome hat {{name}}?,Quali altri sintomi ha {{name}}?,Welche anderen Symptome hat {{name}}?,Welche anderen Symptome hat {{name}}?,Welche anderen Symptome hat {{name}}?,Welche anderen Symptome hat {{name}}?
ADD.ENTRY.DOCTOR.MEASURES,Welche anderen Maßnahmen hat der Arzt ergriffen?,What other measures was taken by the doctor?,Какие другие меры предпринял врач?,Doktor başka hangi önlemleri aldı?,ما هي التدابير الأخرى التي اتخذها الطبيب؟,Quelles autres mesures le médecin a-t-il prises ?,چه اقدامات دیگری توسط دکتر انجام شد؟,Welke andere maatregelen nam de arts?,Jakie inne działania podjął lekarz?,Quali altre misure ha preso il medico?,Які інші заходи вжив лікар?,რა დამატებითი ზომები მიიღო ექიმმა?,¿Qué otras medidas tomó el médico?,Que outras medidas foram tomadas pelo médico?
AMOUNT.ENTER.TEXT,Betrag eingeben,Enter amount,Введите сумму,Miktarı girin,أدخل المبلغ,Entrer le montant,مقدار را وارد کنید,Bedrag invoeren,Wpisz kwotę,Inserisci l'importo,Введіть суму,თანხის შეყვანა,Introduzca la cantidad,Insira o valor
REASON.SELECT.TEXT,Grund auswählen,Select reason,Выберите причину,Nedeni seçin,حدد السبب,Sélectionnez une raison,دلیل را انتخاب کنید,Reden selecteren,Wybierz powód,Seleziona motivo,Виберіть причину,მიზეზის არჩევა,Seleccione motivo,Selecione o motivo
DECISION.BASIS.SELECT.TEXT,Entscheidungsgrundlage auswählen,Select basis of decision,Выберите основу решения,Karar temelini seçin,حدد أساس القرار,Sélectionnez la base de la décision,مبنای تصمیم را انتخاب کنید,Beslissingsgrondslag selecteren,Wybierz podstawę decyzji,Seleziona la base della decisione,Виберіть основу рішення,გადაწყვეტილების საფუძველი,Seleccione la base de la decisión,Selecione a base da decisão
TIME.SELECTED.TEXT,Ausgewählte Zeit,Selected time,Выбранное время,Seçilen zaman,الوقت المحدد,Heure sélectionnée,زمان انتخاب شده,Geselecteerde tijd,Wybrany czas,Ora selezionata,Вибраний час,არჩეული დრო,Hora seleccionada,Hora selecionada
MEDICINE.SEARCH.TEXT,Medizin suchen,Search medicine,Искать лекарство,İlaç ara,ابحث عن دواء,Rechercher un médicament,جستجوی دارو,Zoek medicijn,Szukaj leku,Cerca medicina,Шукати ліки,წამლის ძიება,Buscar medicamento,Procurar medicamento
OR.TEXT,Oder,Or,Или,Veya,أو,Ou,یا,Of,Albo,O,Або,ან,O,U
INFO.ABOUT.VALUE.TEXT,Info über {{value}},Info about {{value}},Информация о {{value}},{{value}} hakkında bilgi,معلومات عن {{value}},Infos sur {{value}},اطلاعات در مورد {{value}},Info over {{value}},Informacje o {{value}},Informazioni su {{value}},Інформація про {{value}},ინფორმაცია {{value}}-ზე,Información sobre {{value}},Informações sobre {{value}}
EXACT.ALARMS.REQUIRED,"Genaues Alarmsignal erforderlich","Exact Alarms Required","Требуются точные сигналы будильника","Tam zamanlı alarmlar gerekli","التنبيهات الدقيقة مطلوبة","Alarmes exacts requis","نیاز به زنگ هشدار دقیق","Exacte alarmen vereist","Wymagane dokładne alarmy","Allarmi esatti richiesti","Потрібні точні сигнали будильника","საჭიროა ზუსტი სიგნალი","Se requieren alarmas exactas","Alarmes exatos necessários"
EXACT.ALARMS.DESC,"Diese App erfordert genaue Alarme, um ordnungsgemäß zu funktionieren. Bitte erlauben Sie genaue Alarme in den Systemeinstellungen.","This app requires exact alarms to function correctly. Please allow exact alarms in the system settings.","Это приложение требует точных сигналов будильника для правильной работы. Пожалуйста, разрешите точные сигналы будильника в системных настройках.","Bu uygulamanın doğru çalışabilmesi için tam zamanlı alarmlar gereklidir. Lütfen sistem ayarlarında tam zamanlı alarmlara izin verin.","يتطلب هذا التطبيق التنبيهات الدقيقة ليعمل بشكل صحيح. يرجى السماح بالتنبيهات الدقيقة في إعدادات النظام.","Cette application nécessite des alarmes exactes pour fonctionner correctement. Veuillez autoriser les alarmes exactes dans les paramètres du système.","این برنامه برای عملکرد صحیح به زنگ هشدار دقیق نیاز دارد. لطفا در تنظیمات سیستم اجازه دهید که زنگ هشدار دقیق تنظیم شود.","Deze app vereist exacte alarmen om correct te functioneren. Sta exacte alarmen toe in de systeeminstellingen.","Ta aplikacja wymaga dokładnych alarmów, aby działać poprawnie. Proszę zezwolić na dokładne alarmy w ustawieniach systemu.","Questa app richiede allarmi esatti per funzionare correttamente. Si prega di consentire allarmi esatti nelle impostazioni di sistema.","Цей додаток вимагає точних сигналів будильника для правильного функціонування. Дозвольте точні сигнали будильника в налаштуваннях системи.","ეს აპლიკაცია მოითხოვს ზუსტ სიგნალებს რომ ფუნქციონირება სწორად მოხდეს. გთხოვთ, დაუშვათ ზუსტი სიგნალები სისტემის პარამეტრებში.","Esta aplicación requiere alarmas exactas para funcionar correctamente. Permita alarmas exactas en la configuración del sistema.","Este aplicativo requer alarmes exatos para funcionar corretamente. Por favor, permita alarmes exatos nas configurações do sistema."
EXACT.ALARMS.SETTINGS,"Gehe zu den Einstellungen","Go to Settings","Перейти в настройки","Ayarlar'a git","الذهاب إلى الإعدادات","Aller aux paramètres","به تنظیمات بروید","Ga naar Instellingen","Przejdź do ustawień","Vai alle impostazioni","Перейти до налаштувань","გადადით პარამეტრებში","Ir a Configuración","Ir para Configurações"
ACCESS.CAMERA.NEEDED,Kamerazugriff erforderlich,Camera Access Needed,Требуется доступ к камере,Kamera erişimi gerekiyor,الوصول إلى الكاميرا مطلوب,Accès à la caméra nécessaire,نیاز به دسترسی به دوربین,Camera-toegang nodig,Potrzebny dostęp do kamery,Accesso alla fotocamera necessario,Потрібен доступ до камери,საჭიროა კამერაზე წვდომა,Se necesita acceso a la cámara,Acesso à câmera necessário
ACCESS.CAMERA.GRANT,Bitte gewähren Sie den Kamerazugriff, um diese Funktion zu nutzen.,Please grant camera access to use this feature.,Пожалуйста, предоставьте доступ к камере, чтобы использовать эту функцию.,Lütfen bu özelliği kullanmak için kamera erişimine izin verin.,يرجى منح الوصول إلى الكاميرا لاستخدام هذه الميزة.,Veuillez accorder l'accès à la caméra pour utiliser cette fonctionnalité.,لطفاً برای استفاده از این ویژگی به دوربین اجازه دسترسی بدهید.,Geef alsjeblieft camera-toegang om deze functie te gebruiken.,Proszę zezwolić na dostęp do kamery, aby użyć tej funkcji.,Si prega di concedere l'accesso alla fotocamera per utilizzare questa funzione.,Будь ласка, надайте доступ до камери для використання цієї функції.,გთხოვთ, მიეცით კამერაზე წვდომა ამ ფუნქციის გამოსაყენებლად.,Por favor, concede acceso a la cámara para usar esta función.,Por favor, conceda acesso à câmera para usar este recurso.
CONTROLS.OK,OK,OK,ОК,Tamam,حسناً,OK,تایید,OK,OK,OK,OK,OK,OK,OK
ERROR.NO_MEDICATION_FOUND,Kein Medikament mit dem folgenden Barcode wurde gefunden,No medication with the following barcode was found,Лекарство с указанным штрих-кодом не найдено,Aşağıdaki barkodla eşleşen bir ilaç bulunamadı,لم يتم العثور على دواء بالباركود التالي,Aucun médicament avec le code-barres suivant n'a été trouvé,هیچ دارویی با بارکد زیر یافت نشد,Geen medicatie met de volgende barcode gevonden,Żaden lek o poniższym kodzie kreskowym nie został znaleziony,Nessun farmaco con il seguente codice a barre è stato trovato,Не знайдено ліків із наступним штрих-кодом,შემდეგი შტრიხ-კოდით წამალი ვერ მოიძებნა,No se encontró ningún medicamento con el siguiente código de barras,Nenhum medicamento com o seguinte código de barras foi encontrado
ADD.PROFILE.FAILED.TO.SAVE.MEDICATION,Fehler beim Speichern des Medikaments,Failed to save medication,Ошибка при сохранении лекарства,İlacın kaydedilmesinde hata,فشل في حفظ الدواء,Échec de l'enregistrement du médicament,عدم توانایی در ذخیره دارو,Medicatie opslaan mislukt,Nie udało się zapisać leku,Impossibile salvare il farmaco,Не вдалося зберегти ліки,წარმოუდგენელია წამლის შენახვა,Error al guardar la medicación,Erro ao salvar o medicamento
ADD.PROFILE.REASON,Was ist dein Grund?,What is your reason?,Какова ваша причина?,Nedeniniz nedir?,ما هو سببك؟,Quelle est votre raison ?,چه دلیلی دارید؟,Wat is je reden?,Jaki jest twój powód?,Qual è il tuo motivo?,Яка ваша причина?,რა არის თქვენი მიზეზი?,¿Cuál es tu razón?,Qual é o seu motivo?
ADD.PROFILE.DECISION.BASIS,Was ist deine Entscheidungsgrundlage?,What is your basis of decision?,Какова ваша основа для принятия решения?,Kararınızın dayanağı nedir?,ما هو أساس قرارك؟,Quel est votre critère de décision ?,مبنای تصمیم شما چیست؟,Wat is je besluitvormingsbasis?,Jaka jest podstawa twojej decyzji?,Qual è la tua base di decisione?,Яка ваша основа для прийняття рішення?,რა არის თქვენი გადაწყვეტილების საფუძველი?,¿Cuál es la base de tu decisión?,Qual é a sua base de decisão?
ADD.PROFILE.OTHER.ACTIONS,Welche anderen Maßnahmen hast du ergriffen?,What other actions have you taken?,Какие еще действия вы предприняли?,Başka hangi eylemleri gerçekleştirdiniz?,ما هي الإجراءات الأخرى التي اتخذتها؟,Quelles autres actions avez-vous prises ?,چه اقدامات دیگری انجام داده‌اید؟,Welke andere acties heb je ondernomen?,Jakie inne działania podjąłeś?,Quali altre azioni hai intrapreso?,Які ще дії ви вжили?,რა სხვა ქმედებები გაგივლიათ?,¿Qué otras acciones has tomado?,Quais outras ações você tomou?
LOGIC.OR,oder,or,или,veya,أو,ou,یا,of,lub,o,або,ან,o,u
DIARY.WELLBEING.WELLBEING_CHILD.ANALYSIS.TEXT.4.TEXT,,{{name}} fühlt sich sehr krank,{{name}} feels very sick,{{name}} чувствует себя очень плохо,{{name}} kendini çok hasta hissediyor,{{name}} يشعر بالمرض الشديد,{{name}} se sent très malade,{{name}} احساس خیلی بدی دارد,{{name}} voelt zich erg ziek,{{name}} czuje się bardzo źle,{{name}} si sente molto male,{{name}} se siente muy enfermo,{{name}} se siente muy enfermo,{{name}} está muito doente,{{name}} почувається дуже хворим,{{name}} თავს ძალიან ავად გრძნობს
TIME.EVERY.MINUTE,Jede Minute,Every minute,Каждую минуту,Her Dakika,كل دقيقة,Chaque minute,هر دقیقه,Elke minuut,Każda minuta,Ogni minuto,Щохвилини,ყოველი წუთი,Cada minuto,Cada minuto
TOUR.STEP.6,Schritt 6 von 6,Step 6 of 6,Шаг 6 из 6,Adım 6 / 6,الخطوة 6 من 6,Étape 6 sur 6,مرحله 6 از 6,Stap 6 van 6,Krok 6 z 6,Passaggio 6 di 6,Крок 6 з 6,ნაბიჯი 6 -დან 6,Paso 6 de 6,Etapa 6 de 6
LIMBS.IN.THE,In den Gliedmaßen,In the limbs,В конечностях,Üst ekstremiteerde,Umm al- 'udw, Dans les membres,در اندام ها,In de ledematen,W kończynach,Nelle membra,У кінцівках,ზედა კიდურებში,En las extremidades,Em membros
HEAD.YES.IN.THE,Im Kopf,In the head,В голове,Başta,Ya'si fi al-ra's,Dans la tête,در سر,In het hoofd,W głowie,Nella testa,У голові,თავში,En la cabeza,Na cabeça
NECK.YES.IN.THE,Im Hals,In the neck,В шее,Boyun,Fi al-‘unq,Dans le cou,در گردن,In de nek,W szyi,Nel collo,У шиї,კისერში,En el cuello,No pescoço
EARS.YES.IN.THE,In den Ohren,In the ears,В ушах,Üst kulaklarda,Fi al-udhun,Dans les oreilles,در گوش ها,In de oren,W uszach,Nelle orecchie,У вухах,ყურებში,En las orejas,Nos ouvidos
STOMACH.YES.IN.THE,Im Bauch,In the stomach,В животе,Karında,Fi al-mi'dah,Dans l'estomac,در معده,In de buik,W brzuchu,Nello stomaco,У животі,მუცელში,En el estómago,No estômago
SOMEWHERE.ELSE.YES,Anderswo,Irgendwo anders,Somewhere else,Gayetra,Ghayr dhalik,Ailleurs,در جای دیگر,Anders,Inaczej,Altrove,Деінде,სხვა ადგილზე,En otro lugar,Em outro lugar
